,Unnamed: 0,ID,QuestType,verb,WhichQuestion,WhichAnswer,Group,goal,RT,N,ImageName,order,study,Value,logical,pragmatic,global,local
62,63,16516,16,say,NoMod,MF,E,none,9101.0,2,club1.png,,qn,Disagree,0.0,1.0,1.0,0.0
63,64,16516,16,say,NoMod,MF,E,none,9101.0,2,club2.png,,qn,Disagree,0.0,1.0,1.0,0.0
64,193,17134,1,know,Mod,MO,A,none,5494.5,2,red2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
65,194,17134,1,know,Mod,MO,A,none,5494.5,2,red1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
66,195,17134,2,know,Mod,MS,A,none,8829.0,2,black2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
67,196,17134,2,know,Mod,MS,A,none,8829.0,2,black1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
68,197,17134,3,know,Mod,MA,A,none,10288.5,2,spade2.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
69,198,17134,3,know,Mod,MA,A,none,10288.5,2,spade1.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
70,199,17134,4,know,Mod,MF,A,none,9317.0,2,club1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
71,200,17134,4,know,Mod,MF,A,none,9317.0,2,club2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
72,201,17134,5,say,Mod,MO,A,none,7088.0,2,diamond2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
73,202,17134,5,say,Mod,MO,A,none,7088.0,2,diamond1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
74,203,17134,6,say,Mod,MS,A,none,6577.5,2,hearts2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
75,204,17134,6,say,Mod,MS,A,none,6577.5,2,hearts1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
76,205,17134,7,say,Mod,MA,A,none,6928.5,2,jack2.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
77,206,17134,7,say,Mod,MA,A,none,6928.5,2,jack1.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
78,207,17134,8,say,Mod,MF,A,none,7504.0,2,queen1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
79,208,17134,8,say,Mod,MF,A,none,7504.0,2,queen2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
80,209,17134,9,know,NoMod,MO,A,none,9797.5,2,king2.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
81,210,17134,9,know,NoMod,MO,A,none,9797.5,2,king1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
82,211,17134,10,know,NoMod,MS,A,none,4849.5,2,face2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
83,212,17134,10,know,NoMod,MS,A,none,4849.5,2,face1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
84,213,17134,11,know,NoMod,MA,A,none,10566.5,2,number2.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
85,214,17134,11,know,NoMod,MA,A,none,10566.5,2,number1.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
86,215,17134,12,know,NoMod,MF,A,none,5386.5,2,ace2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
87,216,17134,12,know,NoMod,MF,A,none,5386.5,2,ace1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
88,217,17134,13,say,NoMod,MO,A,none,6516.0,2,ten1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
89,218,17134,13,say,NoMod,MO,A,none,6516.0,2,ten2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
90,219,17134,14,say,NoMod,MS,A,none,4366.0,2,eight1.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
91,220,17134,14,say,NoMod,MS,A,none,4366.0,2,eight2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
92,221,17134,15,say,NoMod,MA,A,none,9281.5,2,six2.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
93,222,17134,15,say,NoMod,MA,A,none,9281.5,2,six1.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
94,223,17134,16,say,NoMod,MF,A,none,4671.0,2,four1.png,,qn,Agree,0.3333333333333333,0.6666666666666666,0.0,1.0
95,224,17134,16,say,NoMod,MF,A,none,4671.0,2,four2.png,,qn,Disagree,0.3333333333333333,0.6666666666666666,0.0,1.0
96,225,17233,1,know,Mod,MO,B,none,10823.5,2,black2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
97,226,17233,1,know,Mod,MO,B,none,10823.5,2,black1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
98,227,17233,2,know,Mod,MS,B,none,8038.5,2,spade1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
99,228,17233,2,know,Mod,MS,B,none,8038.5,2,spade2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
100,229,17233,3,know,Mod,MA,B,none,12312.0,2,club2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
101,230,17233,3,know,Mod,MA,B,none,12312.0,2,club1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
102,231,17233,4,know,Mod,MF,B,none,5894.5,2,diamond2.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
103,232,17233,4,know,Mod,MF,B,none,5894.5,2,diamond1.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
104,233,17233,5,say,Mod,MO,B,none,7844.5,2,hearts1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
105,234,17233,5,say,Mod,MO,B,none,7844.5,2,hearts2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
106,235,17233,6,say,Mod,MS,B,none,10549.5,2,jack1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
107,236,17233,6,say,Mod,MS,B,none,10549.5,2,jack2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
108,237,17233,7,say,Mod,MA,B,none,8879.0,2,queen1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
109,238,17233,7,say,Mod,MA,B,none,8879.0,2,queen2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
110,239,17233,8,say,Mod,MF,B,none,6975.0,2,king2.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
111,240,17233,8,say,Mod,MF,B,none,6975.0,2,king1.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
112,241,17233,9,know,NoMod,MO,B,none,7486.5,2,face2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
113,242,17233,9,know,NoMod,MO,B,none,7486.5,2,face1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
114,243,17233,10,know,NoMod,MS,B,none,8701.0,2,number2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
115,244,17233,10,know,NoMod,MS,B,none,8701.0,2,number1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
116,245,17233,11,know,NoMod,MA,B,none,11613.0,2,ace1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
117,246,17233,11,know,NoMod,MA,B,none,11613.0,2,ace2.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
118,247,17233,12,know,NoMod,MF,B,none,7374.0,2,ten2.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
119,248,17233,12,know,NoMod,MF,B,none,7374.0,2,ten1.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
120,249,17233,13,say,NoMod,MO,B,none,8481.5,2,eight1.png,,qn,Agree,0.6666666666666666,0.3333333333333333,0.5,0.5
121,250,17233,13,say,NoMod,MO,B,none,8481.5,2,eight2.png,,qn,Disagree,0.6666666666666666,0.3333333333333333,0.5,0.5
