"","ID","QuestType","verb","WhichQuestion","WhichAnswer","Group","goal","RT","N","ImageName","order","study","Value"
"82","16558",9,"know","NoMod","MO","D","none",3392.5,2,"ace1.png",NA,"qn","Agree"
"83","16558",10,"know","NoMod","MS","D","none",5356.5,2,"ten1.png",NA,"qn","Agree"
"84","16558",10,"know","NoMod","MS","D","none",5356.5,2,"ten2.png",NA,"qn","Agree"
"85","16558",11,"know","NoMod","MA","D","none",7121.5,2,"eight2.png",NA,"qn","Agree"
"86","16558",11,"know","NoMod","MA","D","none",7121.5,2,"eight1.png",NA,"qn","Agree"
"87","16558",12,"know","NoMod","MF","D","none",6104,2,"six1.png",NA,"qn","Disagree"
"88","16558",12,"know","NoMod","MF","D","none",6104,2,"six2.png",NA,"qn","Disagree"
"89","16558",13,"say","NoMod","MO","D","none",5481,2,"four1.png",NA,"qn","Agree"
"90","16558",13,"say","NoMod","MO","D","none",5481,2,"four2.png",NA,"qn","Agree"
"91","16558",14,"say","NoMod","MS","D","none",4673.5,2,"red2.png",NA,"qn","Agree"
"92","16558",14,"say","NoMod","MS","D","none",4673.5,2,"red1.png",NA,"qn","Agree"
"93","16558",15,"say","NoMod","MA","D","none",7502,2,"black1.png",NA,"qn","Agree"
"94","16558",15,"say","NoMod","MA","D","none",7502,2,"black2.png",NA,"qn","Agree"
"95","16558",16,"say","NoMod","MF","D","none",5403,2,"spade1.png",NA,"qn","Disagree"
"96","16558",16,"say","NoMod","MF","D","none",5403,2,"spade2.png",NA,"qn","Disagree"
"97","16657",1,"know","Mod","MO","M","none",4682.5,2,"ten2.png",NA,"qn","Agree"
"98","16657",1,"know","Mod","MO","M","none",4682.5,2,"ten1.png",NA,"qn","Agree"
"99","16657",2,"know","Mod","MS","M","none",38749,2,"eight1.png",NA,"qn","Agree"
"100","16657",2,"know","Mod","MS","M","none",38749,2,"eight2.png",NA,"qn","Agree"
"101","16657",3,"know","Mod","MA","M","none",7598,2,"six2.png",NA,"qn","Agree"
"102","16657",3,"know","Mod","MA","M","none",7598,2,"six1.png",NA,"qn","Agree"
"103","16657",4,"know","Mod","MF","M","none",7168.5,2,"four1.png",NA,"qn","Disagree"
"104","16657",4,"know","Mod","MF","M","none",7168.5,2,"four2.png",NA,"qn","Disagree"
"105","16657",5,"say","Mod","MO","M","none",6330.5,2,"red1.png",NA,"qn","Agree"
"106","16657",5,"say","Mod","MO","M","none",6330.5,2,"red2.png",NA,"qn","Agree"
"107","16657",6,"say","Mod","MS","M","none",5839.5,2,"black1.png",NA,"qn","Agree"
"108","16657",6,"say","Mod","MS","M","none",5839.5,2,"black2.png",NA,"qn","Agree"
"109","16657",7,"say","Mod","MA","M","none",5533.5,2,"spade2.png",NA,"qn","Agree"
"110","16657",7,"say","Mod","MA","M","none",5533.5,2,"spade1.png",NA,"qn","Disagree"
"111","16657",8,"say","Mod","MF","M","none",57920.5,2,"club2.png",NA,"qn","Disagree"
"112","16657",8,"say","Mod","MF","M","none",57920.5,2,"club1.png",NA,"qn","Agree"
"113","16657",9,"know","NoMod","MO","M","none",12408.5,2,"diamond2.png",NA,"qn","Agree"
"114","16657",9,"know","NoMod","MO","M","none",12408.5,2,"diamond1.png",NA,"qn","Agree"
"115","16657",10,"know","NoMod","MS","M","none",26087.5,2,"hearts2.png",NA,"qn","Agree"
"116","16657",10,"know","NoMod","MS","M","none",26087.5,2,"hearts1.png",NA,"qn","Agree"
"117","16657",11,"know","NoMod","MA","M","none",33536,2,"jack1.png",NA,"qn","Agree"
"118","16657",11,"know","NoMod","MA","M","none",33536,2,"jack2.png",NA,"qn","Agree"
"119","16657",12,"know","NoMod","MF","M","none",4458,2,"queen2.png",NA,"qn","Disagree"
"120","16657",12,"know","NoMod","MF","M","none",4458,2,"queen1.png",NA,"qn","Disagree"
"121","16657",13,"say","NoMod","MO","M","none",10223,2,"king1.png",NA,"qn","Agree"
"122","16657",13,"say","NoMod","MO","M","none",10223,2,"king2.png",NA,"qn","Agree"
"123","16657",14,"say","NoMod","MS","M","none",5167,2,"face1.png",NA,"qn","Agree"
"124","16657",14,"say","NoMod","MS","M","none",5167,2,"face2.png",NA,"qn","Agree"
"125","16657",15,"say","NoMod","MA","M","none",7011.5,2,"number2.png",NA,"qn","Agree"
"126","16657",15,"say","NoMod","MA","M","none",7011.5,2,"number1.png",NA,"qn","Agree"
