"","ID","SentType","Token","SentNumber","Group","RT","N","SubStat","Negation","CompTruth","Matrix","order","goal","study","Value","logRT"
"88","165585","T4","tunas",1,"B",251,1,"expert",0,1,"Zoologists know that",2,"none","cb","Agree",5.52545293913178
"89","165585","T5","parrots",6,"B",1247,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",7.12849594568004
"90","165585","T5","parrots",6,"B",1247,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",7.12849594568004
"91","165585","T5","watermellon",6,"B",595,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",6.38856140554563
"92","165585","T5","watermellon",6,"B",595,1,"novice",1,0,"Babies don't know that",2,"none","cb","Disagree",6.38856140554563
"93","165585","T6","bees",5,"B",3185,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",8.06620756800626
"94","165585","T6","bees",5,"B",3185,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",8.06620756800626
"95","165585","T6","pythons",5,"B",497,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",6.20859002609663
"96","165585","T6","pythons",5,"B",497,1,"novice",1,1,"Babies don't know that",2,"none","cb","Agree",6.20859002609663
"97","165585","T7","kiwis",7,"B",1841,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Disagree",7.51806418123308
"98","165585","T7","kiwis",7,"B",1841,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Disagree",7.51806418123308
"99","165585","T7","pigeons",7,"B",1349,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Disagree",7.20711885620776
"100","165585","T7","pigeons",7,"B",1349,1,"expert",1,0,"Zoologists don't say that",2,"none","cb","Disagree",7.20711885620776
"101","165585","T8","oranges",8,"B",1937,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.568895663407
"102","165585","T8","oranges",8,"B",1937,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",7.568895663407
"103","165585","T8","vultures",8,"B",3492,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",8.15822991695949
"104","165585","T8","vultures",8,"B",3492,1,"novice",0,0,"Babies say that",2,"none","cb","Disagree",8.15822991695949
