,Study,SentNumber,Verb,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group
20,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,trouts,fishes,birds,B
21,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,cows,mammals,fruit,B
22,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,cobras,reptiles,mammals,C
23,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,ticks,insects,fishes,C
24,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,tortoises,reptiles,mammals,D
25,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,beetles,insects,fishes,D
26,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,pythons,reptiles,mammals,E
27,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,bees,insects,fishes,E
28,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,parrots,birds,reptiles,F
29,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,watermellon,fruits,insects,F
30,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,pigeons,birds,reptiles,G
31,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,kiwis,fruits,insects,G
32,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,vultures,birds,reptiles,H
33,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,oranges,fruits,insects,H
34,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,salmon,fishes,birds,I
35,CB,2,know,Mismatching,Zoologists know that,Token,Category,T2,0,0,expert,bears,mammals,fruit,I
36,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,trouts,fishes,birds,A
37,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,cows,mammals,fruit,A
38,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,cobras,reptiles,mammals,B
39,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,ticks,insects,fishes,B
40,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,tortoises,reptiles,mammals,C
41,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,beetles,insects,fishes,C
42,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,pythons,reptiles,mammals,D
43,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,bees,insects,fishes,D
44,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,parrots,birds,reptiles,E
45,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,watermellon,fruits,insects,E
46,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,pigeons,birds,reptiles,F
47,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,kiwis,fruits,insects,F
48,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,vultures,birds,reptiles,G
49,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,oranges,fruits,insects,G
50,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,salmon,fishes,birds,H
51,CB,3,know,Matching,Zoologists don't know that,Token,Category,T3,1,1,expert,bears,mammals,fruit,H
