,Token,MatchingCategory,MismatchingCategory,SentNumber,Quantifier,Matrix,WhichCategory,Subject,Predicate,Group,SentType,Verb,Embedded
116,iguanas,reptiles,mamals,9,some,Zoologists says that,Matching,Category,Token,,T2,say,1
117,iguanas,reptiles,mamals,10,all,,Matching,Token,Category,,T4,none,0
118,iguanas,reptiles,mamals,11,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
119,iguanas,reptiles,mamals,12,all,Zoologists says that,Matching,Token,Category,,T4,say,1
120,iguanas,reptiles,mamals,13,all,,Mismatching,Token,Category,,T6,none,0
121,iguanas,reptiles,mamals,14,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
122,iguanas,reptiles,mamals,15,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
123,iguanas,reptiles,mamals,16,all,,Matching,Category,Token,,T5,none,0
124,iguanas,reptiles,mamals,17,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
125,iguanas,reptiles,mamals,18,all,Zoologists says that,Matching,Category,Token,,T5,say,1
126,iguanas,reptiles,mamals,19,some,,Matching,Token,Category,,T1,none,0
127,iguanas,reptiles,mamals,20,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
128,iguanas,reptiles,mamals,21,some,Zoologists says that,Matching,Token,Category,,T1,say,1
129,iguanas,reptiles,mamals,22,some,,Mismatching,Token,Category,,T3,none,0
130,iguanas,reptiles,mamals,23,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
131,iguanas,reptiles,mamals,24,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
132,iguanas,reptiles,mamals,25,some,,Matching,Category,Token,,T2,none,0
133,iguanas,reptiles,mamals,26,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
134,iguanas,reptiles,mamals,27,some,Zoologists says that,Matching,Category,Token,,T2,say,1
135,iguanas,reptiles,mamals,28,all,,Matching,Token,Category,,T4,none,0
136,iguanas,reptiles,mamals,29,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
137,iguanas,reptiles,mamals,30,all,Zoologists says that,Matching,Token,Category,,T4,say,1
138,iguanas,reptiles,mamals,31,all,,Mismatching,Token,Category,,T6,none,0
139,iguanas,reptiles,mamals,32,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
140,iguanas,reptiles,mamals,33,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
141,iguanas,reptiles,mamals,34,all,,Matching,Category,Token,,T5,none,0
142,iguanas,reptiles,mamals,35,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
143,iguanas,reptiles,mamals,36,all,Zoologists says that,Matching,Category,Token,,T5,say,1
144,lizards,reptiles,mamals,1,some,,Matching,Token,Category,,T1,none,0
145,lizards,reptiles,mamals,2,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
146,lizards,reptiles,mamals,3,some,Zoologists says that,Matching,Token,Category,,T1,say,1
147,lizards,reptiles,mamals,4,some,,Mismatching,Token,Category,,T3,none,0
148,lizards,reptiles,mamals,5,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
149,lizards,reptiles,mamals,6,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
150,lizards,reptiles,mamals,7,some,,Matching,Category,Token,,T2,none,0
151,lizards,reptiles,mamals,8,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
152,lizards,reptiles,mamals,9,some,Zoologists says that,Matching,Category,Token,,T2,say,1
153,lizards,reptiles,mamals,10,all,,Matching,Token,Category,,T4,none,0
154,lizards,reptiles,mamals,11,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
155,lizards,reptiles,mamals,12,all,Zoologists says that,Matching,Token,Category,,T4,say,1
156,lizards,reptiles,mamals,13,all,,Mismatching,Token,Category,,T6,none,0
157,lizards,reptiles,mamals,14,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
158,lizards,reptiles,mamals,15,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
159,lizards,reptiles,mamals,16,all,,Matching,Category,Token,,T5,none,0
160,lizards,reptiles,mamals,17,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
161,lizards,reptiles,mamals,18,all,Zoologists says that,Matching,Category,Token,,T5,say,1
162,lizards,reptiles,mamals,19,some,,Matching,Token,Category,,T1,none,0
163,lizards,reptiles,mamals,20,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
164,lizards,reptiles,mamals,21,some,Zoologists says that,Matching,Token,Category,,T1,say,1
165,lizards,reptiles,mamals,22,some,,Mismatching,Token,Category,,T3,none,0
166,lizards,reptiles,mamals,23,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
167,lizards,reptiles,mamals,24,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
168,lizards,reptiles,mamals,25,some,,Matching,Category,Token,,T2,none,0
169,lizards,reptiles,mamals,26,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
170,lizards,reptiles,mamals,27,some,Zoologists says that,Matching,Category,Token,,T2,say,1
171,lizards,reptiles,mamals,28,all,,Matching,Token,Category,,T4,none,0
172,lizards,reptiles,mamals,29,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
173,lizards,reptiles,mamals,30,all,Zoologists says that,Matching,Token,Category,,T4,say,1
174,lizards,reptiles,mamals,31,all,,Mismatching,Token,Category,,T6,none,0
175,lizards,reptiles,mamals,32,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
176,lizards,reptiles,mamals,33,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
177,lizards,reptiles,mamals,34,all,,Matching,Category,Token,,T5,none,0
178,lizards,reptiles,mamals,35,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
179,lizards,reptiles,mamals,36,all,Zoologists says that,Matching,Category,Token,,T5,say,1
180,geckos,reptiles,mamals,1,some,,Matching,Token,Category,,T1,none,0
181,geckos,reptiles,mamals,2,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
182,geckos,reptiles,mamals,3,some,Zoologists says that,Matching,Token,Category,,T1,say,1
183,geckos,reptiles,mamals,4,some,,Mismatching,Token,Category,,T3,none,0
184,geckos,reptiles,mamals,5,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
185,geckos,reptiles,mamals,6,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
186,geckos,reptiles,mamals,7,some,,Matching,Category,Token,,T2,none,0
187,geckos,reptiles,mamals,8,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
188,geckos,reptiles,mamals,9,some,Zoologists says that,Matching,Category,Token,,T2,say,1
189,geckos,reptiles,mamals,10,all,,Matching,Token,Category,,T4,none,0
190,geckos,reptiles,mamals,11,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
191,geckos,reptiles,mamals,12,all,Zoologists says that,Matching,Token,Category,,T4,say,1
192,geckos,reptiles,mamals,13,all,,Mismatching,Token,Category,,T6,none,0
193,geckos,reptiles,mamals,14,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
194,geckos,reptiles,mamals,15,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
195,geckos,reptiles,mamals,16,all,,Matching,Category,Token,,T5,none,0
196,geckos,reptiles,mamals,17,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
197,geckos,reptiles,mamals,18,all,Zoologists says that,Matching,Category,Token,,T5,say,1
198,geckos,reptiles,mamals,19,some,,Matching,Token,Category,,T1,none,0
199,geckos,reptiles,mamals,20,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
200,geckos,reptiles,mamals,21,some,Zoologists says that,Matching,Token,Category,,T1,say,1
201,geckos,reptiles,mamals,22,some,,Mismatching,Token,Category,,T3,none,0
202,geckos,reptiles,mamals,23,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
203,geckos,reptiles,mamals,24,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
204,geckos,reptiles,mamals,25,some,,Matching,Category,Token,,T2,none,0
205,geckos,reptiles,mamals,26,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
206,geckos,reptiles,mamals,27,some,Zoologists says that,Matching,Category,Token,,T2,say,1
207,geckos,reptiles,mamals,28,all,,Matching,Token,Category,,T4,none,0
208,geckos,reptiles,mamals,29,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
209,geckos,reptiles,mamals,30,all,Zoologists says that,Matching,Token,Category,,T4,say,1
210,geckos,reptiles,mamals,31,all,,Mismatching,Token,Category,,T6,none,0
211,geckos,reptiles,mamals,32,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
212,geckos,reptiles,mamals,33,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
213,geckos,reptiles,mamals,34,all,,Matching,Category,Token,,T5,none,0
214,geckos,reptiles,mamals,35,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
215,geckos,reptiles,mamals,36,all,Zoologists says that,Matching,Category,Token,,T5,say,1
216,anchovies,fishes,birds,1,some,,Matching,Token,Category,,T1,none,0
217,anchovies,fishes,birds,2,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
218,anchovies,fishes,birds,3,some,Zoologists says that,Matching,Token,Category,,T1,say,1
219,anchovies,fishes,birds,4,some,,Mismatching,Token,Category,,T3,none,0
220,anchovies,fishes,birds,5,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
221,anchovies,fishes,birds,6,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
222,anchovies,fishes,birds,7,some,,Matching,Category,Token,,T2,none,0
223,anchovies,fishes,birds,8,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
224,anchovies,fishes,birds,9,some,Zoologists says that,Matching,Category,Token,,T2,say,1
225,anchovies,fishes,birds,10,all,,Matching,Token,Category,,T4,none,0
226,anchovies,fishes,birds,11,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
227,anchovies,fishes,birds,12,all,Zoologists says that,Matching,Token,Category,,T4,say,1
228,anchovies,fishes,birds,13,all,,Mismatching,Token,Category,,T6,none,0
229,anchovies,fishes,birds,14,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
230,anchovies,fishes,birds,15,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
231,anchovies,fishes,birds,16,all,,Matching,Category,Token,,T5,none,0
232,anchovies,fishes,birds,17,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
233,anchovies,fishes,birds,18,all,Zoologists says that,Matching,Category,Token,,T5,say,1
234,anchovies,fishes,birds,19,some,,Matching,Token,Category,,T1,none,0
235,anchovies,fishes,birds,20,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
236,anchovies,fishes,birds,21,some,Zoologists says that,Matching,Token,Category,,T1,say,1
237,anchovies,fishes,birds,22,some,,Mismatching,Token,Category,,T3,none,0
238,anchovies,fishes,birds,23,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
239,anchovies,fishes,birds,24,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
240,anchovies,fishes,birds,25,some,,Matching,Category,Token,,T2,none,0
241,anchovies,fishes,birds,26,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
242,anchovies,fishes,birds,27,some,Zoologists says that,Matching,Category,Token,,T2,say,1
243,anchovies,fishes,birds,28,all,,Matching,Token,Category,,T4,none,0
244,anchovies,fishes,birds,29,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
245,anchovies,fishes,birds,30,all,Zoologists says that,Matching,Token,Category,,T4,say,1
246,anchovies,fishes,birds,31,all,,Mismatching,Token,Category,,T6,none,0
247,anchovies,fishes,birds,32,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
248,anchovies,fishes,birds,33,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
249,anchovies,fishes,birds,34,all,,Matching,Category,Token,,T5,none,0
250,anchovies,fishes,birds,35,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
251,anchovies,fishes,birds,36,all,Zoologists says that,Matching,Category,Token,,T5,say,1
252,carp,fishes,birds,1,some,,Matching,Token,Category,,T1,none,0
253,carp,fishes,birds,2,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
254,carp,fishes,birds,3,some,Zoologists says that,Matching,Token,Category,,T1,say,1
255,carp,fishes,birds,4,some,,Mismatching,Token,Category,,T3,none,0
256,carp,fishes,birds,5,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
257,carp,fishes,birds,6,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
258,carp,fishes,birds,7,some,,Matching,Category,Token,,T2,none,0
259,carp,fishes,birds,8,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
260,carp,fishes,birds,9,some,Zoologists says that,Matching,Category,Token,,T2,say,1
261,carp,fishes,birds,10,all,,Matching,Token,Category,,T4,none,0
262,carp,fishes,birds,11,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
263,carp,fishes,birds,12,all,Zoologists says that,Matching,Token,Category,,T4,say,1
264,carp,fishes,birds,13,all,,Mismatching,Token,Category,,T6,none,0
265,carp,fishes,birds,14,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
266,carp,fishes,birds,15,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
267,carp,fishes,birds,16,all,,Matching,Category,Token,,T5,none,0
268,carp,fishes,birds,17,all,Zoologists knows that,Matching,Category,Token,,T5,know,1
269,carp,fishes,birds,18,all,Zoologists says that,Matching,Category,Token,,T5,say,1
270,carp,fishes,birds,19,some,,Matching,Token,Category,,T1,none,0
271,carp,fishes,birds,20,some,Zoologists knows that,Matching,Token,Category,,T1,know,1
272,carp,fishes,birds,21,some,Zoologists says that,Matching,Token,Category,,T1,say,1
273,carp,fishes,birds,22,some,,Mismatching,Token,Category,,T3,none,0
274,carp,fishes,birds,23,some,Zoologists knows that,Mismatching,Token,Category,,T3,know,1
275,carp,fishes,birds,24,some,Zoologists says that,Mismatching,Token,Category,,T3,say,1
276,carp,fishes,birds,25,some,,Matching,Category,Token,,T2,none,0
277,carp,fishes,birds,26,some,Zoologists knows that,Matching,Category,Token,,T2,know,1
278,carp,fishes,birds,27,some,Zoologists says that,Matching,Category,Token,,T2,say,1
279,carp,fishes,birds,28,all,,Matching,Token,Category,,T4,none,0
280,carp,fishes,birds,29,all,Zoologists knows that,Matching,Token,Category,,T4,know,1
281,carp,fishes,birds,30,all,Zoologists says that,Matching,Token,Category,,T4,say,1
282,carp,fishes,birds,31,all,,Mismatching,Token,Category,,T6,none,0
283,carp,fishes,birds,32,all,Zoologists knows that,Mismatching,Token,Category,,T6,know,1
284,carp,fishes,birds,33,all,Zoologists says that,Mismatching,Token,Category,,T6,say,1
